Attendance,Current_GPA,Previous_GPA,GPA_Diff,NonProductive_Hrs,SemiProductive_Hrs,Productive_Hrs,Club_Score,Internship_Status,Family_Income,Sentiment_Score,Dropout_Prob
78,9.93,10.0,-0.07,5.3,1.1,0.4,3,1,1-5 LPA,-0.37,0.85
91,6.57,6.787196248660519,-0.22,2.0,0.1,1.6,2,1,1-5 LPA,-0.67,0.9
68,6.31,6.751181020191618,-0.44,0.7,0.3,0.7,4,1,1-5 LPA,-0.92,0.85
54,8.08,8.352471373120398,-0.27,1.5,2.7,0.1,4,1,<1 LPA,-0.67,0.95
82,5.31,5.622556736742515,-0.31,0.1,1.9,1.3,4,1,>10 LPA,-0.09,0.75
47,9.7,8.638822297351133,1.06,7.2,3.4,0.5,5,1,5-10 LPA,-0.51,1.0
60,8.72,9.55785416529716,-0.84,0.9,0.2,0.3,0,0,5-10 LPA,-0.48,0.95
78,4.54,5.475671993942219,-0.94,1.3,6.0,0.5,4,0,1-5 LPA,0.75,0.95
97,6.51,6.326487404745578,0.18,0.9,0.4,0.7,3,0,5-10 LPA,0.03,0.5
58,9.27,9.235218440148909,0.03,2.3,0.0,0.4,3,0,1-5 LPA,0.46,0.8
62,9.67,8.445113997955422,1.22,2.2,6.0,0.3,2,1,1-5 LPA,-0.93,0.85
50,6.8,7.2114038048142675,-0.41,2.5,0.5,0.5,1,0,<1 LPA,-0.27,1.0
50,7.68,8.137645953371315,-0.46,0.6,1.7,0.0,1,1,1-5 LPA,-0.04,0.8
63,5.0,4.950247186400551,0.05,0.8,0.3,1.5,0,0,<1 LPA,-0.63,1.0
92,9.95,10.0,-0.05,0.3,1.3,0.2,5,1,>10 LPA,-0.76,0.65
75,5.39,5.122738215216048,0.27,2.1,3.5,0.0,5,1,<1 LPA,0.74,0.7
79,9.66,10.0,-0.34,0.1,0.6,1.1,4,0,1-5 LPA,0.88,0.6
63,7.9,7.084268529046308,0.82,1.8,1.7,1.5,0,1,1-5 LPA,-0.84,0.9
42,7.65,7.63115827930061,0.02,4.1,0.3,1.7,2,0,1-5 LPA,-0.3,1.0
61,7.08,6.9405165936777315,0.14,4.4,1.5,0.7,2,1,1-5 LPA,0.92,0.8
92,5.38,5.560246337632753,-0.18,1.2,0.6,0.2,1,1,<1 LPA,-0.83,1.0
41,5.06,4.764378456933313,0.3,1.2,0.4,1.3,2,1,5-10 LPA,0.29,0.9
63,5.32,5.214821923462666,0.11,0.2,0.6,1.2,4,0,1-5 LPA,0.94,0.8
83,5.12,5.780837737153205,-0.66,2.2,0.3,0.3,3,1,1-5 LPA,0.96,0.75
69,8.68,8.330588610209425,0.35,3.4,3.5,2.3,2,1,5-10 LPA,-0.06,0.65
77,6.1,4.814738319409056,1.29,0.6,0.8,0.1,0,1,>10 LPA,-0.67,0.8
41,4.35,5.749667123364336,-1.4,1.1,0.4,4.1,4,1,5-10 LPA,-0.6,1.0
99,9.81,10.0,-0.19,3.7,0.9,2.0,2,1,5-10 LPA,0.78,0.6
60,9.3,8.266189843915505,1.03,4.2,0.6,1.2,5,1,1-5 LPA,0.82,0.65
72,9.57,10.0,-0.43,0.6,2.0,2.8,2,0,1-5 LPA,0.22,0.65
51,9.97,9.567620183558926,0.4,1.6,5.3,1.3,5,0,5-10 LPA,0.53,0.75
97,5.04,5.250789772264848,-0.21,0.4,0.9,0.2,4,1,>10 LPA,0.48,0.65
61,6.38,6.615379303210795,-0.24,0.2,3.0,0.6,2,0,<1 LPA,0.32,0.95
83,8.55,8.362473759746942,0.19,4.8,1.3,0.1,5,0,1-5 LPA,0.65,0.7
64,8.18,7.552987467530882,0.63,3.4,0.3,0.5,3,0,5-10 LPA,0.37,0.6
88,4.92,4.367567158146993,0.55,2.9,1.8,1.4,1,1,1-5 LPA,0.07,0.7
66,8.89,8.157046467615007,0.73,0.1,1.1,0.5,4,1,1-5 LPA,-0.53,0.65
98,5.35,4.684542233415644,0.67,3.7,1.6,0.4,5,1,1-5 LPA,0.49,0.65
81,5.34,5.286257367960515,0.05,1.2,3.3,0.9,0,0,5-10 LPA,-0.05,1.0
67,7.22,6.647392008711399,0.57,0.8,0.9,2.1,2,1,>10 LPA,-0.41,0.7
99,7.56,8.105641652570096,-0.55,1.6,3.5,0.0,5,1,1-5 LPA,0.6,0.6
55,7.48,8.669796924268741,-1.19,0.2,2.1,0.5,5,1,1-5 LPA,0.39,0.9
54,4.55,4.085957406903965,0.46,2.8,1.0,0.2,5,1,<1 LPA,0.87,0.85
86,9.26,9.4515236004283,-0.19,1.7,1.4,1.2,1,1,<1 LPA,-0.67,0.8
90,5.59,5.989748088242347,-0.4,0.4,0.6,0.1,0,1,1-5 LPA,0.3,0.8
83,4.78,5.157601816735419,-0.38,0.4,6.0,1.1,0,0,1-5 LPA,-0.51,1.0
94,9.33,9.39076421433287,-0.06,0.4,1.7,0.3,3,0,1-5 LPA,0.81,0.6
91,9.73,10.0,-0.27,0.1,0.1,0.2,1,0,5-10 LPA,-0.8,0.75
96,9.17,9.555799162144526,-0.39,1.8,0.6,2.8,5,1,5-10 LPA,0.31,0.45
42,8.86,7.869870062138161,0.99,3.7,1.5,0.0,4,0,1-5 LPA,0.58,0.8
76,7.93,8.625324851511419,-0.7,0.0,0.1,0.6,1,1,1-5 LPA,-0.29,0.6
90,7.31,8.019832669813393,-0.71,0.1,0.0,0.0,1,0,>10 LPA,0.91,0.65
46,4.52,4.0,0.52,1.7,0.9,0.7,0,1,1-5 LPA,0.7,1.0
60,6.45,6.480350268358082,-0.03,3.4,0.6,0.7,3,1,5-10 LPA,-0.41,0.95
48,6.24,6.786663194248856,-0.55,0.8,0.9,0.4,3,1,1-5 LPA,-0.98,0.95
78,5.56,5.39254894433651,0.17,0.9,0.5,0.1,1,1,5-10 LPA,-0.41,0.8
57,8.34,9.198382438212809,-0.86,1.8,0.3,0.5,1,0,5-10 LPA,-0.44,1.0
43,6.98,8.87109799569549,-1.89,0.6,1.8,1.1,2,1,5-10 LPA,0.78,0.95
64,4.49,4.0,0.49,0.1,1.1,1.5,5,0,>10 LPA,0.93,0.7
99,5.32,4.21516431747698,1.1,2.7,0.3,0.8,0,1,>10 LPA,-0.86,1.0
53,8.1,8.343054876483901,-0.24,2.0,0.6,0.9,5,1,1-5 LPA,-0.06,0.85
89,4.46,5.0372500041009145,-0.58,1.7,1.3,0.2,4,0,1-5 LPA,0.1,0.9
97,9.11,8.925306900924184,0.18,2.7,0.1,0.3,4,0,1-5 LPA,-0.81,0.8
